Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
06.11.2017 19:30:00;    85
31.12.2017 23:59:55;    85
05.01.2018 22:45:00;    89
01.02.2018 01:45:00;    78
14.03.2018 14:45:00;    80
13.04.2018 20:30:00;    97
06.05.2018 00:15:00;    78
14.06.2018 11:45:00;    99
01.07.2018 00:00:00;    90
07.08.2018 13:45:00;    93
01.09.2018 23:45:00;    80
25.10.2018 09:45:00;   107
01.11.2018 00:30:00;    75
24.12.2018 18:45:00;   104
02.01.2019 07:00:00;    78
22.02.2019 19:15:00;    81
17.03.2019 13:15:00;    95
25.04.2019 22:15:00;    95
23.05.2019 16:15:00;    94
19.06.2019 16:00:00;    93
14.07.2019 13:00:00;    77
03.08.2019 15:00:00;    67
03.09.2019 15:15:00;    69
07.10.2019 13:45:00;    74
17.11.2019 18:15:00;    75
25.12.2019 22:00:00;    76
31.01.2020 23:59:55;    72
03.02.2020 17:30:00;   117
13.03.2020 17:15:00;    96
10.04.2020 08:15:00;    83
26.05.2020 15:15:00;    97
22.06.2020 04:00:00;   119
18.07.2020 21:30:00;    87
18.08.2020 22:30:00;    94
07.09.2020 09:45:00;    96
30.10.2020 23:45:00;    90
01.11.2020 00:00:00;    85
23.12.2020 18:30:00;    77
30.01.2021 06:15:00;    83
27.02.2021 09:45:00;    79
31.03.2021 23:15:00;    82
02.04.2021 13:45:00;    85
20.05.2021 15:45:00;    86
01.06.2021 12:45:00;    69
18.07.2021 11:15:00;   105
25.08.2021 06:45:00;    86
01.09.2021 14:45:00;    83
16.10.2021 07:45:00;    74
15.11.2021 19:30:00;    70
31.12.2021 15:15:00;    98
